L,L error,D,D error,H,H error,k,k error,real data
0.2286,0.003,0.0381,0.003,0,0.003,0,0,0.09710438
0,0.003,0.0381,0.003,0,0.003,0.35,0.1,-0.63798905
0.2286,0.003,0.0508,0.003,0,0.003,0,0,0.02870073
0.061,0.003,0.0508,0.003,0.0254,0.003,0.3,0.1,0.38518248
0.381,0.003,0.0508,0.003,0.381,0.003,0,0,0.10824818
0.381,0.003,0.0508,0.003,0.381,0.003,0,0,-0.02832117
0.061,0.003,0.0508,0.003,0.0254,0.003,0.3,0.1,0.5065
0.3048,0.003,0.0508,0.003,0,0.003,0,0,-0.0095584
0.4572,0.003,0.0508,0.003,0,0.003,39,7,20.37234715
0.381,0.003,0.0508,0.003,0,0.003,0,0,-0.028652395
